,Title,Poem,Poet,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"
from Solar Maximum [""How much chemical disorder...""]
                ","
                                 How much chemical disorder
                 can be survived depends                on medical technology.
    A hundred years ago, cardiac arrest was irreversible.
                                       People were called dead
                when their heart                  stopped beating.
            Today death is                                  believed to occur 4
      to 6 minutes after                                      the heart stops beating
              because after                                     several minutes it is difficult
      to resuscitate the brain.
                                                    However, with new experimental
              treatments, more than         10 minutes of warm cardiac
                                      arrest can       now be survived without
      brain injury.     Future technologies
                                                          for molecular repair may extend the
 
 
                               frontiers of resuscitation beyond
                                    60 minutes or more,
                             making today’s             beliefs about
                       when death                             occurs
                                                                        obsolete
 
 
        merely transitory evidence          a stray boundary between
   a much longer-lasting            (invisible                     opposite polarities
         feature                                                             the fields annihilate
                        the field tries to                        one another
                             repel the intruder                        rapidly
 
 
 
                            velocities     directly                    shine in emission
                          visible                                                              shortly
 
 
                                  in terms of                  before
                                                       brightness                              totality
 
 
",Sueyeun Juliette Lee,"Health & Illness,The Body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"
                    Three Blue Butterflies
                ","
I. MORPHO MENELAUS
 
Foiled acqua-
moiré wings the
butterfly’s beauty-
mark hydraulic in its
purposes   his
hair’s flame lifts
you snarls you
 
II. MORPHO ACHILLES
 
Sea-bed in semaphore / an
eyepiece     wing-span
delft dye vat-dipped shingle
scintilla        :        truant
and acclimate     enfold
or infuriate:     SOS:Don’t surroundDon’t surroundyourself with yourself
 
III. MORPHO RHETENOR HELENA
 
Neon heather sky-
lit bluer than moiré:
 
inseam of street
trash     lush mask-
 
contour     soul-
strait fungible
 
as raiment in the
crawlspace     radiating
 
amatory birds’
egg bulls-eye
 
",Christina Pugh,Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"
                    [""Something I learned about agape when I was young...""]
                ","
Something I learned about agape when I was young: the Iliad tells
us fellow-feeling is finite in communities. Brotherly love becomes a
number that has to be divided among persons—so if you’re too kind to
others, that might explain your neighbor’s graft. I sometimes wonder if
perception is the same; if the quantity of percepts, or our trove of eidetic
things, is not limitless but rather constant: the measure, say, of a sunlit
field. So if we dip like deep-sea divers to the world, we’ll have to use a
purse-seine to sieve our sense impressions. We’re hoarding the image
at our peril. That bluest scilla smeared by a finger writing in the grass?
Endangered. Poetry’s work is not to ravish, but diminish.
 
",Christina Pugh,Poetry & Poets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"
                    The German word for dream is traume.
                ","
The coal-dust hushed
parameters of the room.
 
Outside, my mother stitched
whole dresses for $3.00 a piece.
 
I slept in a bedroom
which faced the street.
 
A cheerleader was killed
in a drive-by that year.
 
She died in her sleep.
 
I watched the headlights
sweep overhead.
 
          *
 
It felt like skin.
 
It did not
feel obscene.
 
When that boy
tongue-kissed me
 
and wiped
his mouth,
 
it was a coming
into knowledge.
 
          *
 
When my mother whispered,Has anyone touched you there?
I had to pick.
 Alan, I said.
 
I was seven.
The training wheels
were coming off.
 
Between the couch
and wall, the ceiling was white
with popcorn bits. The boys stood
 
and watched. I lay there,
my eyes open like a doll’s.
Someone said, Let me try.
 
He pulled down his pants
and rode on top,
then abruptly stopped.
 
The boys laughed,
said Shhh
and stood me up.
 
",Cathy Linh Che,"Coming of Age,The Body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"
                    Split
                ","
I see my mother, at thirteen,
in a village so small
it’s never given a name.
 
Monsoon season drying up—
steam lifting in full-bodied waves.
She chops bắp chuối for the hogs.
 
Her hair dips to the small of her back
as if smeared in black
and polished to a shine.
 
She wears a deep side-part
that splits her hair
into two uneven planes.
 
They come to watch her:
Americans, Marines, just boys,
eighteen or nineteen.
 
With scissor-fingers,
they snip the air,
point at their helmets
 
and then at her hair.
All they want is a small lock—
something for a bit of good luck.
 
Days later, my mother
is sent to the city
for safekeeping.
 
She will return home once,
only to be given away
to my father.
 
In the pictures,
the cake is sweet
and round.
 
My mother’s hair
which spans the length
of her áo dài
 
is long, washed, and uncut.
",Cathy Linh Che,"Men & Women,War & Conflict",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"
                    [""My father does his own dental work""]
                ","
My father does his own dental work.
A power drill and epoxy
and steady hands—
 
On Christmas Day, he mistook
the Macy’s star
for the Viet Cong flag.
 
While watchingForrest Gump, he told me
how he too carried a friend.
 He squeezedaround my throat so tight,I thought I’d die with him.
 
",Cathy Linh Che,"Home Life,War & Conflict",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"
                    My Mother upon Hearing News of Her Mother’s Death
                ","
She opened her mouth and a moose came out, a donkey, and an ox—out of her mouth, years of animal grief. I lead her to the bed. She held my hand and followed. She said, Chết rồi, and like that, the cord was cut, the thread snapped, and the cable that tied my mother to her mother broke. And now her eyes red as a market fish. And now, she dropped like laundry on the bed.
 
The furniture moved toward her, the kitchen knives and spoons, the vibrating spoons—they dragged the tablecloth, the corner tilting in, her mouth a sinkhole. She wanted all of it: the house and the car too, and the flowers she planted, narcissus and hoa mai, which cracked open each spring—the sky, she brought it low until the air was hot and wet and broke into a rain—
 
the torrents like iron ropes you could climb up, only I couldn’t. I was drowning in it. I was swirled in. I leapt into her mouth, her throat, her gut, and stayed inside with the remnants of my former life. I ate the food she ate and drank the milk she drank. I grew until I crowded the furnishings. I edged out her organs, her swollen heart. I grew up and out so large that I became a woman, wearing my mother’s skin.
",Cathy Linh Che,Sorrow & Grieving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"
                    The Properties of Light
                ","
Mid-October in Central Park, one of the elms
has changed early, burning with a light
grown accustomed to its own magnificence,
 
imperceptible until this moment when it becomes
more than itself, more than a ritual
of self-immolation. I think of sacrifice
 
as nourishment, the light feeding bark and veins
and blood and skin, the tree better off
for wanting nothing more. I used to imagine
 
the chakra like this—a hole in the soul
from the top of the head, where the light of knowing
can shimmer through. In the summer of 1979
 
I saw that light shoot from my brother’s forehead
as we sat chanting in a temple in Manila.
He didn’t see it pulsing like a bulb in a storm,
 
but he said he felt the warmth that wasn’t warmth
but peace. And I, who have never been
so privileged, since then have wondered
 
if we believed everything because not to believe
was to be unhappy. I’ve seen that light elsewhere
—on a river in Bangkok, or pixeled across
 
the shattered façades of Prague—but it is here
where I perceive its keenest rarity, where I know
it has passed over all the world, has given shape
 
to cities, cast glamour over the eyes of the skeptic,
so that it comes to me informed with the wonder
of many beings. I can’t begin to say how infinite I feel,
 
as though I were one of many a weightless absence
touches, and out of this a strange transformation:
the soul ringed with changes, as old as a tree,
 
as old as light. I am always learning the same thing:
there is no other way to live than this,
still, and grateful, and full of longing.
 
",Eric Gamalinda,"The Body,The Spiritual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"
                    Zero Gravity
                ","
The dry basin of the moon must have held
the bones of a race, radiant minerals,
or something devoid of genesis, angel-heavy,
idea-pure. All summer we had waited for it,
 
our faces off-blue in front of the TV screen.
Nothing could be more ordinary—two figures
digging dirt in outer space—while mother repeated
Neil Armstrong’s words, like a prayer
 
electronically conveyed. The dunes were lit
like ancient silk, like clandestine pearl.
In the constant lunar night this luminescence
was all we hoped for. A creature unto itself,
 
it poured into the room like a gradual flood
of lightning, touching every object with the cool burn
of something not quite on fire. If we stepped out
Manila would be blank ether, way station,
 
a breathless abeyance. It didn’t matter,
at that moment, where our lives would lead:
father would disown one brother,
one sister was going to die. Not yet unhappy,
 
we were ready to walk on the moon. Reckless
in our need for the possible, we knew
there was no turning back, our bags already packed,
the future a religion we could believe in.
 
",Eric Gamalinda,"Stars, Planets, Heavens,Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"
                    Factory of Souls
                ","
It takes just two people to bring the world
to ruin. So goes the history of love.
At the end of the day we tally the casualties
of war, victory for the one who gets wounded
 
the least. You say it’s time for a change
but I don’t know to what end, change being
just the skin of some incandescent creature
whose grotesque beauty is what we adore,
 
whom some people call love, whom we
venerate because it consumes us, slim pickings
for its huge soul. My people say, don’t look
or you’ll go blind. You say the end was always
 
just around the bend. I say all we have
is unconditional surrender to the future.
So unreliable is the past that I feel compelled
to leave unmourned the blind, relentless loves
 
that may have scorched into our hearts
the way the saints accepted stigmata. My people say,
look back or lose your way. Or, walk backwards,
if you can. So I found myself on a bus to New York City
 
to lose myself completely. Past Hunters Point
we hit the factory of souls—a thousand tombstones
from which a silk-like canopy of smoke rose to meet
God knows what—a spacious emptiness, the end.
 
I’ve heard the world’s never going to end.
I’ve heard it will go on and on, and we will be
as nebulous as Nebuchadnezzar, our live
not worth a footnote, our grandest schemes
 
no more than feeble whispers, all memory
shifting like the continental plates. In the future,
all science will finally come around; genetic
engineering, I’ve been told, will be all the rage,
 
and we will be a super race in a world
infallibly perfected, where trains run on time,
love never dies, and hope can be purchased
by the pound. It’s called immortalization
 of the cell lines. We will choose what will survive.
Our destiny made lucid, we will find the world
contemplating itself, like the young Narcissus,
one hand about to touch the pool, his body
 
lurched towards that marvelous reflection.
I suppose we’ve always felt compelled
to desensitize our failures. My people say,
to go unnoticed, you play dead. I myself
 
may have chosen to forget a face, a name,
some cruel word uttered carelessly, but not,
after all the harm is done, intending any pain.
And many others may have chosen to forget me.
 
It works both ways. My people say, nasa huliang pagsisi: regret is the final emotion.
It’s what you see when you look back.
It’s what’s no longer there.
",Eric Gamalinda,"Realistic & Complicated,Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"
                    The Opposite of Nostalgia
                ","
You are running away from everyone
who loves you,
from your family,
from old lovers, from friends.
 
They run after you with accumulations
of a former life, copper earrings,
plates of noodles, banners
of many lost revolutions.
 
You love to say the trees are naked now
because it never happens
in your country. This is a mystery
from which you will never
 
recover. And yes, the trees are naked now,
everything that still breathes in them
lies silent and stark
and waiting. You love October most
 
of all, how there is no word
for so much splendor.
This, too, is a source
of consolation. Between you and memory
 
everything is water. Names of the dead,
or saints, or history.
There is a realm in which
—no, forget it,
 
it’s still too early to make anyone understand.
A man drives a stake
through his own heart
and afterwards the opposite of nostalgia
 
begins to make sense: he stops raking the leaves
and the leaves take over
and again he has learned
to let go.
 
",Eric Gamalinda,"Heartache & Loss,Fall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"
                    the luams speak of god
                ","
If there is a god, let it be the hyena
who plunges her mouth into the river after eating
our grandfather’s poisoned bait, who,
dark with thirst, poisons the river
unbeknownst to both of them.
 
Her ghosts stand in the street where we are called
already through “time” out of our houses. She tells
her stories. We tell her ours. We all clean our teeth
with what is sharp. She asks, Will you add this story to your stories of history & land & peace?
Yes, we will add this story. We ask her,Will you add these poems to your repertoire of songsabout hunger & thirst & fur? & she, being wiser than we,
says, Yes, I will sing them ifyou grant me your permissionto turn them into poems abouta mercy.
 
",Aracelis Girmay,"Family & Ancestors,Animals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
